participant_id,age,gender_id,country_id,occupation_id
1,40,2,8,3
2,33,2,8,4
3,42,2,3,2
4,53,2,8,3
5,32,1,16,5
6,32,2,12,4
7,53,2,7,5
8,44,1,4,4
9,29,2,19,4
10,41,1,18,2
11,29,1,18,3
12,29,2,13,2
13,37,1,10,4
14,18,1,10,2
15,18,2,12,4
16,28,2,16,2
17,22,1,5,4
18,38,1,11,1
19,24,1,19,1
20,18,2,8,5
21,52,1,10,4
22,32,2,7,2
23,35,1,2,4
24,18,1,19,2
25,28,1,6,5
26,36,1,12,4
27,21,1,2,5
28,39,1,1,2
29,27,2,4,3
30,31,1,1,2
31,27,1,20,5
32,57,2,6,4
33,34,2,7,4
34,22,2,17,5
35,44,1,3,4
36,20,1,5,1
37,37,2,10,3
38,18,1,5,5
39,19,2,5,3
40,37,1,9,5
41,43,2,14,3
42,37,2,20,2
43,33,2,14,5
44,31,2,6,4
45,18,1,10,3
46,26,1,4,2
47,29,2,19,2
48,47,2,9,2
49,39,2,5,4
50,18,1,2,2
51,38,1,13,3
52,30,2,11,4
53,26,1,5,5
54,42,2,6,4
55,47,1,7,5
56,46,1,9,5
57,24,1,16,5
58,31,1,9,5
59,38,1,17,4
60,46,1,11,1
61,29,1,16,1
62,32,2,11,2
63,21,2,6,3
64,20,2,11,3
65,44,1,13,3
66,51,2,17,2
67,34,2,12,3
68,47,2,2,4
69,39,2,4,1
70,27,1,10,5
71,39,1,3,3
72,53,1,1,2
73,34,1,12,2
74,53,1,8,4
75,18,2,6,5
76,44,2,11,5
77,36,1,1,2
78,31,2,19,3
79,36,2,19,4
80,18,1,1,4
81,32,2,17,5
82,39,2,1,4
83,52,2,1,1
84,28,2,16,5
85,25,2,4,2
86,28,2,3,4
87,45,1,16,5
88,38,1,13,3
89,28,2,4,3
90,41,1,10,1
91,36,2,10,2
92,46,2,14,3
93,26,2,8,5
94,31,1,15,4
95,30,2,10,3
96,18,1,7,3
97,38,1,13,1
98,38,1,7,4
99,35,1,17,4
100,32,1,19,3
101,18,2,16,4
102,29,2,10,2
103,30,1,9,2
104,25,1,14,3
105,33,2,6,3
106,39,2,1,2
107,57,2,2,4
108,37,2,16,1
109,38,2,14,1
110,34,1,17,1
111,18,1,10,4
112,34,2,6,1
113,35,1,9,2
114,64,1,3,4
115,32,2,15,2
116,38,2,12,4
117,34,1,10,1
118,20,1,4,1
119,48,2,9,3
120,44,3,11,5
121,44,2,17,2
122,24,2,18,1
123,51,2,14,4
124,18,2,17,3
125,42,1,11,2
126,61,1,11,1
127,23,2,4,3
128,28,1,19,1
129,36,1,5,1
130,28,2,19,1
131,18,1,5,3
132,35,2,4,5
133,22,1,16,1
134,40,2,20,2
135,23,1,18,3
136,53,2,2,1
137,25,1,16,3
138,31,1,16,2
139,44,2,13,2
140,20,2,13,4
141,37,2,4,4
142,50,1,7,5
143,18,2,19,4
144,37,1,8,3
145,38,2,16,4
146,44,2,19,3
147,20,2,6,3
148,19,2,15,5
149,41,1,2,3
150,38,1,5,4
151,38,2,1,4
152,39,1,14,1
153,26,2,18,5
154,37,1,7,2
155,38,2,16,2
156,26,1,19,1
157,57,1,19,4
158,40,2,8,5
159,20,1,5,4
160,42,2,13,1
161,23,2,9,2
162,44,2,11,5
163,48,2,7,4
164,25,2,6,3
165,46,2,10,3
166,39,2,1,3
167,44,2,6,2
168,57,1,10,3
169,32,1,19,3
170,25,2,16,1
171,24,2,6,1
172,25,2,18,1
173,34,1,2,4
174,39,1,17,3
175,38,2,10,2
176,44,2,20,3
177,35,2,16,3
178,52,2,16,4
179,31,1,20,1
180,67,1,20,3
181,42,2,14,5
182,24,1,11,5
183,22,2,14,1
184,40,2,12,1
185,32,1,9,3
186,43,1,5,5
187,40,2,5,2
188,34,2,1,2
189,24,1,12,5
190,18,1,14,1
191,29,2,14,4
192,45,2,11,4
193,37,2,17,2
194,20,1,8,1
195,37,1,14,3
196,39,2,18,5
197,24,1,5,2
198,36,1,5,4
199,35,2,16,4
200,21,2,2,3
201,39,1,17,3
202,41,1,18,4
203,47,1,9,1
204,47,1,9,4
205,18,2,6,5
206,23,2,19,1
207,41,1,5,3
208,41,2,17,3
209,41,1,14,3
210,80,1,9,5
211,41,1,10,3
212,48,2,15,1
213,46,1,3,3
214,42,1,5,3
215,31,1,2,4
216,44,2,5,4
217,25,2,10,5
218,32,2,20,1
219,29,2,18,1
220,35,2,17,4
221,62,1,1,1
222,18,1,6,3
223,43,1,9,5
224,18,1,3,4
225,29,2,4,3
226,48,1,6,4
227,35,2,9,4
228,22,2,14,5
229,26,1,13,5
230,43,1,11,4
231,26,1,12,3
232,37,2,8,2
233,35,1,16,3
234,27,2,1,1
235,60,2,19,4
236,42,1,13,4
237,18,1,13,5
238,37,1,13,1
239,27,1,3,2
240,45,1,17,2
241,25,1,14,5
242,33,1,20,2
243,41,1,11,4
244,45,1,12,2
245,20,3,5,2
246,30,2,2,3
247,29,1,3,2
248,27,1,4,3
249,56,2,8,1
250,39,1,15,3
251,19,2,18,1
252,46,1,1,5
253,60,1,16,4
254,47,2,12,5
255,18,2,6,5
256,29,1,5,5
257,50,2,6,1
258,26,2,2,2
259,40,2,3,3
260,44,1,19,5
261,23,1,12,5
262,34,1,3,2
263,18,2,1,5
264,22,1,17,1
265,31,1,19,1
266,20,2,7,2
267,54,1,1,1
268,18,1,18,5
269,29,1,9,5
270,36,2,3,4
271,52,2,10,4
272,18,2,18,2
273,48,2,20,5
274,35,1,7,5
275,23,2,2,3
276,40,1,20,1
277,37,2,20,2
278,27,2,7,2
279,35,1,16,1
280,30,2,4,3
281,36,1,15,4
282,42,2,13,3
283,54,2,15,4
284,20,1,9,4
285,60,1,1,3
286,18,2,13,2
287,33,2,3,5
288,42,1,2,2
289,38,1,11,5
290,27,1,17,2
291,32,2,6,3
292,29,3,4,3
293,27,2,4,3
294,45,2,14,5
295,39,1,15,2
296,26,2,1,4
297,45,2,10,2
298,38,2,4,2
299,44,2,11,1
300,42,1,4,2
301,25,1,2,4
302,28,2,1,2
303,43,1,8,1
304,42,1,17,1
305,34,1,11,4
306,36,2,9,2
307,50,3,13,3
308,27,1,9,3
309,41,2,17,1
310,32,2,13,4
311,32,2,19,3
312,48,1,8,1
313,44,2,7,1
314,44,1,2,2
315,50,2,8,4
316,35,1,9,3
317,43,2,3,2
318,31,1,9,5
319,38,1,1,4
320,33,2,15,1
321,36,2,17,2
322,42,2,19,3
323,25,1,5,1
324,60,1,5,1
325,22,2,3,3
326,20,2,14,5
327,48,2,19,4
328,44,1,6,4
329,42,1,20,1
330,42,1,6,2
331,34,2,2,5
332,24,2,9,5
333,35,1,14,1
334,26,2,14,2
335,46,1,20,3
336,33,2,7,3
337,25,2,13,1
338,31,1,17,2
339,39,3,18,5
340,28,1,5,5
341,25,2,4,5
342,37,2,6,4
343,37,1,18,5
344,28,1,18,3
345,29,1,2,2
346,37,2,9,5
347,18,1,5,1
348,18,1,12,1
349,26,1,19,3
350,32,1,19,5
351,38,2,3,3
352,52,1,4,3
353,45,1,1,3
354,33,1,1,4
355,34,1,13,5
356,22,1,3,1
357,34,1,15,4
358,31,2,13,3
359,38,2,16,1
360,25,2,4,3
361,41,2,7,4
362,53,2,4,2
363,33,2,11,3
364,39,2,14,3
365,43,2,10,1
366,30,2,17,1
367,37,2,9,3
368,35,1,19,5
369,36,1,11,1
370,25,2,10,2
371,35,1,7,2
372,40,1,4,3
373,52,2,1,1
374,46,1,18,2
375,60,1,17,4
376,25,1,9,2
377,45,2,8,1
378,37,1,2,3
379,61,2,12,2
380,25,1,8,3
381,24,3,6,4
382,27,1,17,2
383,18,1,16,3
384,28,2,1,2
385,25,3,3,2
386,36,1,1,1
387,39,2,18,1
388,57,1,10,5
389,46,2,5,1
390,28,2,17,1
391,24,1,13,5
392,40,2,15,5
393,19,1,1,2
394,56,2,5,2
395,49,2,20,2
396,29,1,14,1
397,18,2,5,3
398,51,1,18,3
399,33,1,9,1
400,49,1,2,4
401,18,1,13,2
402,27,1,12,1
403,35,2,8,4
404,35,1,11,2
405,29,2,4,5
406,42,1,5,1
407,22,1,1,4
408,33,1,13,3
409,36,1,13,1
410,41,1,3,3
411,43,1,1,4
412,21,1,8,1
413,18,2,1,1
414,50,2,3,1
415,38,2,18,1
416,26,1,14,5
417,53,2,15,1
418,36,2,20,4
419,49,2,1,4
420,35,1,3,5
421,59,1,9,1
422,56,2,18,1
423,32,2,5,2
424,46,2,6,2
425,42,2,9,3
426,51,2,4,5
427,23,1,12,2
428,43,3,4,4
429,47,2,18,4
430,18,2,10,4
431,20,2,6,5
432,18,2,11,4
433,31,2,14,2
434,43,2,14,2
435,53,2,16,3
436,35,1,19,3
437,54,1,9,5
438,18,1,14,3
439,18,2,10,5
440,34,1,11,1
441,39,1,15,3
442,34,2,2,5
443,18,2,14,2
444,33,1,8,3
445,19,2,14,3
446,43,2,14,5
447,39,1,11,1
448,23,1,7,3
449,28,2,7,5
450,22,1,19,1
451,34,1,20,5
452,46,2,14,1
